시도,시군구,연령,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,12세이하,1,0,1,0,0,1
서울,종로구,13-20세,15,0,20,3,11,6
서울,종로구,21-30세,125,0,157,27,97,33
서울,종로구,31-40세,158,1,217,44,142,31
서울,종로구,41-50세,179,1,238,61,153,24
서울,종로구,51-60세,305,4,413,82,293,38
서울,종로구,61-64세,120,0,178,34,132,12
서울,종로구,65세이상,205,0,295,66,191,38
서울,종로구,불명,26,0,27,3,20,4
서울,중구,13-20세,15,0,20,2,14,4
서울,중구,21-30세,112,0,153,34,99,20
서울,중구,31-40세,157,1,233,48,162,23
서울,중구,41-50세,188,1,232,62,142,28
서울,중구,51-60세,292,3,388,115,239,34
서울,중구,61-64세,118,1,164,48,92,24
서울,중구,65세이상,208,3,276,65,183,28
서울,중구,불명,38,0,40,6,31,3
서울,용산구,13-20세,18,0,23,5,17,1
서울,용산구,21-30세,151,2,223,61,151,11
서울,용산구,31-40세,220,5,316,70,224,22
서울,용산구,41-50세,203,1,267,44,208,15
서울,용산구,51-60세,300,3,427,87,324,16
서울,용산구,61-64세,152,2,233,53,169,11
서울,용산구,65세이상,231,1,297,81,209,7
서울,용산구,불명,55,0,66,4,41,21
서울,성동구,12세이하,3,0,3,2,1,0
서울,성동구,13-20세,35,0,43,12,26,5
서울,성동구,21-30세,135,2,175,36,120,19
서울,성동구,31-40세,178,1,262,60,188,14
서울,성동구,41-50세,201,1,274,44,217,13
서울,성동구,51-60세,280,2,368,80,251,37
서울,성동구,61-64세,114,2,165,35,121,9
서울,성동구,65세이상,154,1,223,49,166,8
서울,성동구,불명,43,0,48,8,36,4
서울,동대문구,12세이하,4,0,4,0,2,2
서울,동대문구,13-20세,58,0,78,23,44,11
서울,동대문구,21-30세,207,2,264,55,185,24
서울,동대문구,31-40세,262,2,340,108,210,22
서울,동대문구,41-50세,300,3,384,111,248,25
서울,동대문구,51-60세,419,5,527,152,356,19
서울,동대문구,61-64세,145,1,190,53,124,13
서울,동대문구,65세이상,267,1,334,90,217,27
서울,동대문구,불명,37,0,39,5,22,12
서울,성북구,12세이하,1,0,1,0,0,1
서울,성북구,13-20세,46,2,62,12,33,17
서울,성북구,21-30세,191,2,253,63,174,16
서울,성북구,31-40세,183,1,257,51,191,15
서울,성북구,41-50세,253,0,323,85,220,18
서울,성북구,51-60세,325,5,460,96,347,17
서울,성북구,61-64세,154,0,210,41,164,5
서울,성북구,65세이상,243,4,378,93,259,26
서울,성북구,불명,31,0,36,1,23,12
서울,도봉구,12세이하,3,0,3,0,1,2
서울,도봉구,13-20세,31,0,37,11,15,11
서울,도봉구,21-30세,88,0,128,33,72,23
서울,도봉구,31-40세,94,0,123,32,83,8
서울,도봉구,41-50세,137,1,179,46,116,17
서울,도봉구,51-60세,217,2,275,90,162,23
서울,도봉구,61-64세,91,1,120,30,83,7
서울,도봉구,65세이상,147,2,180,36,120,24
서울,도봉구,불명,16,0,16,3,7,6
서울,은평구,12세이하,1,0,1,0,1,0
서울,은평구,13-20세,42,2,49,10,29,10
서울,은평구,21-30세,114,2,166,36,107,23
서울,은평구,31-40세,147,0,226,53,159,14
서울,은평구,41-50세,197,0,301,71,193,37
서울,은평구,51-60세,287,4,395,95,269,31
서울,은평구,61-64세,103,2,140,37,94,9
서울,은평구,65세이상,193,2,251,57,178,16
서울,은평구,불명,50,0,51,8,34,9
서울,서대문구,12세이하,2,0,2,1,0,1
서울,서대문구,13-20세,47,2,61,13,27,21
서울,서대문구,21-30세,106,0,161,34,100,27
서울,서대문구,31-40세,141,0,187,43,109,35
서울,서대문구,41-50세,185,1,254,63,166,25
서울,서대문구,51-60세,250,1,338,77,221,40
서울,서대문구,61-64세,106,0,152,36,103,13
서울,서대문구,65세이상,177,1,228,55,156,17
서울,서대문구,불명,19,0,20,4,8,8
서울,마포구,12세이하,4,0,4,0,4,0
서울,마포구,13-20세,41,0,54,14,36,4
서울,마포구,21-30세,260,4,392,78,270,44
서울,마포구,31-40세,257,1,379,80,272,27
서울,마포구,41-50세,272,0,426,73,328,25
서울,마포구,51-60세,371,4,505,101,382,22
서울,마포구,61-64세,166,1,233,39,180,14
서울,마포구,65세이상,246,1,366,69,275,22
서울,마포구,불명,54,0,70,5,56,9
서울,강서구,12세이하,5,0,5,2,2,1
서울,강서구,13-20세,38,1,77,19,40,18
서울,강서구,21-30세,191,1,288,66,198,24
서울,강서구,31-40세,268,1,410,91,283,36
서울,강서구,41-50세,274,2,385,88,273,24
서울,강서구,51-60세,362,3,520,120,368,32
서울,강서구,61-64세,151,1,209,39,157,13
서울,강서구,65세이상,181,2,280,61,201,18
서울,강서구,불명,32,0,34,3,24,7
서울,구로구,12세이하,3,0,3,1,2,0
서울,구로구,13-20세,55,0,84,21,53,10
서울,구로구,21-30세,177,0,254,47,191,16
서울,구로구,31-40세,238,2,333,71,248,14
서울,구로구,41-50세,276,1,376,79,270,27
서울,구로구,51-60세,400,4,581,107,435,39
서울,구로구,61-64세,156,4,212,38,162,12
서울,구로구,65세이상,209,2,267,84,164,19
서울,구로구,불명,18,0,19,4,11,4
서울,영등포구,12세이하,11,0,11,1,9,1
서울,영등포구,13-20세,96,0,130,20,90,20
서울,영등포구,21-30세,322,1,490,87,360,43
서울,영등포구,31-40세,383,1,565,111,409,45
서울,영등포구,41-50세,427,4,620,118,449,53
서울,영등포구,51-60세,583,9,823,127,631,65
서울,영등포구,61-64세,236,4,336,63,245,28
서울,영등포구,65세이상,354,3,470,90,349,31
서울,영등포구,불명,81,0,87,3,54,30
서울,동작구,12세이하,3,0,4,2,1,1
서울,동작구,13-20세,71,0,89,19,49,21
서울,동작구,21-30세,197,1,241,62,141,38
서울,동작구,31-40세,226,0,339,77,228,34
서울,동작구,41-50세,230,1,305,73,192,40
서울,동작구,51-60세,328,2,465,85,328,52
서울,동작구,61-64세,135,2,165,33,125,7
서울,동작구,65세이상,194,3,256,62,163,31
서울,동작구,불명,28,0,28,4,15,9
서울,관악구,12세이하,1,0,1,0,1,0
서울,관악구,13-20세,41,1,58,11,40,7
서울,관악구,21-30세,205,0,283,65,195,23
서울,관악구,31-40세,193,1,277,51,192,34
서울,관악구,41-50세,199,1,248,52,179,17
서울,관악구,51-60세,330,2,431,79,320,32
서울,관악구,61-64세,126,2,165,29,122,14
서울,관악구,65세이상,169,1,215,53,149,13
서울,관악구,불명,36,0,39,1,31,7
서울,강남구,12세이하,4,0,5,1,2,2
서울,강남구,13-20세,46,0,67,14,47,6
서울,강남구,21-30세,464,2,689,145,502,42
서울,강남구,31-40세,682,2,984,198,699,87
서울,강남구,41-50세,611,3,869,162,643,64
서울,강남구,51-60세,754,5,1050,191,792,67
서울,강남구,61-64세,320,3,481,78,364,39
