시도,시군구,도로형태,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,터널안,8,1,12,0,10,2
서울,종로구,교량위,3,0,5,1,4,0
서울,종로구,지하차도(도로)내,41,0,56,12,38,6
서울,종로구,기타단일로,644,4,863,175,566,122
서울,종로구,교차로내,235,1,333,75,226,32
서울,종로구,교차로횡단보도내,43,0,47,17,28,2
서울,종로구,교차로부근,153,0,222,37,162,23
서울,종로구,주차장,1,0,1,0,1,0
서울,종로구,기타,6,0,7,3,4,0
서울,중구,터널안,22,1,50,16,25,9
서울,중구,고가도로위,1,0,1,1,0,0
서울,중구,지하차도(도로)내,13,0,15,3,10,2
서울,중구,기타단일로,647,4,856,212,563,81
서울,중구,교차로내,203,2,280,73,173,34
서울,중구,교차로횡단보도내,42,0,43,18,19,6
서울,중구,교차로부근,166,2,222,50,145,27
서울,중구,기타,33,0,38,7,26,5
서울,중구,불명,1,0,1,0,1,0
서울,용산구,터널안,5,1,6,0,6,0
서울,용산구,교량위,48,0,82,13,67,2
서울,용산구,고가도로위,13,0,19,6,12,1
서울,용산구,지하차도(도로)내,88,0,120,23,95,2
서울,용산구,기타단일로,710,8,987,218,706,63
서울,용산구,교차로내,206,2,281,74,194,13
서울,용산구,교차로횡단보도내,27,3,28,10,15,3
서울,용산구,교차로부근,187,0,259,51,192,16
서울,용산구,주차장,9,0,18,2,15,1
서울,용산구,기타,36,0,51,8,40,3
서울,용산구,불명,1,0,1,0,1,0
서울,성동구,터널안,5,0,6,2,3,1
서울,성동구,교량위,36,0,74,14,57,3
서울,성동구,고가도로위,2,0,3,1,2,0
서울,성동구,지하차도(도로)내,1,0,1,0,1,0
서울,성동구,기타단일로,563,5,780,140,584,56
서울,성동구,교차로내,225,1,299,89,187,23
서울,성동구,교차로횡단보도내,43,1,45,16,26,3
서울,성동구,교차로부근,173,1,223,39,167,17
서울,성동구,주차장,4,0,6,1,5,0
서울,성동구,기타,91,1,124,24,94,6
서울,동대문구,터널안,1,0,1,0,0,1
서울,동대문구,교량위,9,0,12,1,11,0
서울,동대문구,고가도로위,9,0,23,4,19,0
서울,동대문구,지하차도(도로)내,3,0,4,1,1,2
서울,동대문구,기타단일로,714,2,909,244,592,73
서울,동대문구,교차로내,435,3,528,152,336,40
서울,동대문구,교차로횡단보도내,83,5,88,43,38,7
서울,동대문구,교차로부근,286,3,403,89,289,25
서울,동대문구,주차장,2,0,4,0,4,0
서울,동대문구,기타,156,1,187,63,117,7
서울,동대문구,불명,1,0,1,0,1,0
서울,성북구,터널안,12,0,45,10,34,1
서울,성북구,교량위,8,0,13,2,11,0
서울,성북구,고가도로위,23,0,40,6,31,3
서울,성북구,지하차도(도로)내,2,0,2,0,2,0
서울,성북구,기타단일로,743,7,1008,217,715,76
서울,성북구,교차로내,303,4,425,88,316,21
서울,성북구,교차로횡단보도내,74,1,83,31,46,6
서울,성북구,교차로부근,171,1,248,50,185,13
서울,성북구,주차장,2,0,2,1,1,0
서울,성북구,기타,89,1,114,37,70,7
서울,도봉구,터널안,1,0,2,0,0,2
서울,도봉구,교량위,3,0,3,0,1,2
서울,도봉구,지하차도(도로)내,3,0,3,1,2,0
서울,도봉구,기타단일로,300,1,383,93,239,51
서울,도봉구,교차로내,312,1,406,120,251,35
서울,도봉구,교차로횡단보도내,64,1,70,33,31,6
서울,도봉구,교차로부근,123,3,173,31,118,24
서울,도봉구,주차장,3,0,4,0,3,1
서울,도봉구,기타,15,0,17,3,14,0
서울,은평구,터널안,1,0,1,0,1,0
서울,은평구,교량위,1,0,2,1,0,1
서울,은평구,지하차도(도로)내,1,0,2,0,2,0
서울,은평구,기타단일로,447,6,590,129,416,45
서울,은평구,교차로내,374,4,563,141,360,62
서울,은평구,교차로횡단보도내,51,1,57,21,32,4
서울,은평구,교차로부근,235,1,331,66,232,33
서울,은평구,주차장,4,0,10,2,6,2
서울,은평구,기타,20,0,24,7,15,2
서울,서대문구,터널안,7,0,11,0,10,1
서울,서대문구,교량위,2,0,2,1,1,0
서울,서대문구,고가도로위,16,0,34,6,24,4
서울,서대문구,지하차도(도로)내,1,0,1,0,1,0
서울,서대문구,기타단일로,608,5,795,178,499,118
서울,서대문구,교차로내,226,0,326,77,209,40
서울,서대문구,교차로횡단보도내,32,0,35,20,11,4
서울,서대문구,교차로부근,111,0,165,36,110,19
서울,서대문구,주차장,2,0,3,0,3,0
서울,서대문구,기타,28,0,31,8,22,1
서울,마포구,터널안,1,0,1,0,1,0
서울,마포구,교량위,23,0,52,9,40,3
서울,마포구,고가도로위,12,0,35,6,27,2
서울,마포구,지하차도(도로)내,1,0,1,1,0,0
서울,마포구,기타단일로,889,7,1285,224,962,99
서울,마포구,교차로내,324,0,478,106,331,41
서울,마포구,교차로횡단보도내,54,0,63,27,36,0
서울,마포구,교차로부근,241,3,349,53,282,14
서울,마포구,주차장,3,0,3,2,1,0
서울,마포구,기타,122,1,161,31,122,8
서울,마포구,불명,1,0,1,0,1,0
서울,강서구,터널안,6,0,13,0,13,0
서울,강서구,교량위,4,0,8,2,6,0
서울,강서구,고가도로위,1,0,1,1,0,0
서울,강서구,지하차도(도로)내,1,0,1,0,1,0
서울,강서구,기타단일로,717,3,1054,221,758,75
서울,강서구,교차로내,373,4,582,126,404,52
서울,강서구,교차로횡단보도내,76,0,79,28,43,8
서울,강서구,교차로부근,267,3,398,91,278,29
서울,강서구,주차장,6,0,6,2,4,0
서울,강서구,기타,51,1,66,18,39,9
서울,구로구,터널안,4,0,6,1,4,1
서울,구로구,교량위,14,0,22,1,20,1
서울,구로구,고가도로위,17,0,21,3,16,2
서울,구로구,지하차도(도로)내,11,0,13,4,9,0
서울,구로구,기타단일로,761,5,1020,223,730,67
서울,구로구,교차로내,393,3,607,122,446,39
서울,구로구,교차로횡단보도내,85,4,94,34,54,6
서울,구로구,교차로부근,214,1,310,56,233,21
서울,구로구,주차장,4,0,4,0,3,1
서울,구로구,기타,29,0,32,8,21,3
서울,영등포구,터널안,6,0,8,1,6,1
서울,영등포구,교량위,57,1,102,11,81,10
서울,영등포구,고가도로위,7,0,20,1,12,7
서울,영등포구,지하차도(도로)내,7,0,8,0,7,1
서울,영등포구,기타단일로,1197,10,1676,264,1249,163
서울,영등포구,교차로내,646,8,926,186,667,73
서울,영등포구,교차로횡단보도내,69,0,77,32,38,7
서울,영등포구,교차로부근,385,3,555,90,415,50
서울,영등포구,주차장,2,0,3,1,2,0
서울,영등포구,기타,116,0,156,33,119,4
서울,영등포구,불명,1,0,1,1,0,0
서울,동작구,터널안,5,0,5,1,4,0
서울,동작구,교량위,10,0,15,1,13,1
서울,동작구,고가도로위,4,0,4,1,3,0
서울,동작구,지하차도(도로)내,4,0,7,1,5,1
서울,동작구,기타단일로,726,7,975,206,659,110
서울,동작구,교차로내,269,0,372,89,231,52
서울,동작구,교차로횡단보도내,49,1,51,21,24,6
서울,동작구,교차로부근,268,0,371,73,243,55
서울,동작구,주차장,1,0,1,1,0,0
서울,동작구,기타,76,1,91,23,60,8
서울,관악구,터널안,14,0,19,1,16,2
서울,관악구,교량위,1,0,1,0,1,0
서울,관악구,기타단일로,676,3,867,169,635,63
서울,관악구,교차로내,304,2,429,90,300,39
서울,관악구,교차로횡단보도내,39,2,41,15,25,1
